exercise,muscle group,muscles worked
Lunges,Legs,"(quadriceps, 40%), (glutes, 35%), (hamstrings, 15%), (calves, 10%)"
Leg Extension,Legs,"(quadriceps, 100%)"
Leg Curl,Legs,"(hamstrings, 100%)"
Deadlift,Back,"(hamstrings, 30%), (glutes, 30%), (erector spinae, 20%), (trapezius, 10%), (forearms, 10%)"
Barbell Row,Back,"(latissimus dorsi, 40%), (rhomboids, 20%), (biceps, 20%), (erector spinae, 10%), (trapezius, 10%)"
Pull-Up,Back,"(latissimus dorsi, 50%), (biceps, 30%), (rhomboids, 10%), (trapezius, 10%)"
Lat Pulldown,Back,"(latissimus dorsi, 50%), (biceps, 30%), (rhomboids, 10%), (trapezius, 10%)"
Seated Cable Row,Back,"(latissimus dorsi, 40%), (rhomboids, 30%), (biceps, 20%), (trapezius, 10%)"
Crunch,Abs,"(rectus abdominis, 100%)"
Leg Raise,Abs,"(lower rectus abdominis, 70%), (hip flexors, 30%)"
Plank,Abs,"(transverse abdominis, 50%), (rectus abdominis, 30%), (obliques, 20%)"
Russian Twist,Abs,"(obliques, 70%), (rectus abdominis, 30%)"
Bicycle Crunch,Abs,"(obliques, 60%), (rectus abdominis, 40%)"
Calf Raise,Calves,"(gastrocnemius, 70%), (soleus, 30%)"
Seated Calf Raise,Calves,"(soleus, 80%), (gastrocnemius, 20%)"
Donkey Calf Raise,Calves,"(gastrocnemius, 80%), (soleus, 20%)"
Standing Calf Raise,Calves,"(gastrocnemius, 70%), (soleus, 30%)"
Farmer's Walk,Forearms,"(forearm flexors, 60%), (forearm extensors, 40%)"
Wrist Curl,Forearms,"(forearm flexors, 100%)"
Reverse Wrist Curl,Forearms,"(forearm extensors, 100%)"
Shrugs,Trapezius,"(trapezius, upper fibers, 100%)"
Face Pulls,Trapezius,"(trapezius, middle fibers, 60%), (rear deltoids, 40%)"
Upright Row,Trapezius,"(trapezius, upper fibers, 60%), (deltoids, 40%)"
Good Morning,Lower Back,"(erector spinae, 70%), (hamstrings, 20%), (glutes, 10%)"
Hyperextensions,Lower Back,"(erector spinae, 80%), (glutes, 20%)"
Glute Bridge,Glutes,"(gluteus maximus, 80%), (hamstrings, 20%)"
Hip Thrust,Glutes,"(gluteus maximus, 90%), (hamstrings, 10%)"
Bulgarian Split Squat,Legs,"(quadriceps, 50%), (glutes, 30%), (hamstrings, 20%)"
Step-Up,Legs,"(quadriceps, 40%), (glutes, 40%), (hamstrings, 20%)"
Box Jump,Legs,"(quadriceps, 40%), (glutes, 40%), (calves, 20%)"
Kettlebell Swing,Full Body,"(glutes, 30%), (hamstrings, 30%), (core, 20%), (shoulders, 20%)"
Medicine Ball Slam,Full Body,"(core, 40%), (shoulders, 30%), (arms, 30%)"
Burpee,Full Body,"(chest, 20%), (arms, 20%), (legs, 30%), (core, 30%)"
Mountain Climber,Core,"(rectus abdominis, 40%), (hip flexors, 30%), (shoulders, 30%)"
Jumping Jack,Full Body,"(legs, 40%), (arms, 30%), (core, 30%)"
Side Plank,Core,"(obliques, 70%), (shoulders, 30%)"
Superman,Lower Back,"(erector spinae, 80%), (glutes, 20%)"
Bird Dog,Core,"(erector spinae, 50%), (glutes, 30%), (shoulders, 20%)"
Cable Woodchop,Core,"(obliques, 60%), (rectus abdominis, 40%)"
Tire Flip,Full Body,"(legs, 40%), (back, 30%), (arms, 30%)"
Sled Push,Full Body,"(legs, 50%), (core, 30%), (arms, 20%)"
Battle Ropes,Arms,"(shoulders, 50%), (biceps, 30%), (forearms, 20%)"
Jump Rope,Cardio,"(calves, 50%), (shoulders, 30%), (forearms, 20%)"
Rowing Machine,Cardio,"(back, 40%), (legs, 30%), (arms, 30%)"
Stationary Bike,Cardio,"(quadriceps, 50%), (hamstrings, 30%), (calves, 20%)"
Treadmill Run,Cardio,"(quadriceps, 40%), (hamstrings, 30%), (calves, 30%)"
Elliptical Trainer,Cardio,"(quadriceps, 30%), (hamstrings, 30%), (glutes, 20%), (arms, 20%)"
Stair Climber,Cardio,"(glutes, 40%), (quadriceps, 30%), (calves, 30%)"
Swimming,Full Body,"(shoulders, 30%), (back, 30%), (legs, 20%), (core, 20%)"
